,first_hour_move,open_to_close_move,power_hour_move,gap_percentile,consecutive_days_above_20sma_percentile,open_from_BB_up_percentile,pm_dollar_volume_percentile,x_day_high_at_open_percentile,1month_change_from_high_percentile,red_days_percentile,green_days_percentile
2588,"-0,006342233085","-0,01370541101","-0,009568783398","0,05","0,798","0,266","0,627","0,003","0,552","0,003","0,489"
2589,"-0,006086250869","-0,009680037097","0,0005270555165","0,048","0,783","0,702","0,642","0,003","0,34","0,733","0,003"
2590,"-0,02206436336","-0,01366914218","0,00429598457","0,01","0,003","0,808","0,892","0,003","0,116","0,726","0,003"
2591,"0,0230803827","-0,02089295936","-0,01776045939","0,045","0,003","0,763","0,509","0,003","0,262","0,003","0,907"
2592,"-0,005982148509","-0,001899094765","0,00593339288","0,447","0,698","0,366","0,005","0,003","0,631","0,51","0,003"
2593,"0,002533560219","0,0384949896","0,008297536439","0,015","0,598","0,561","0,962","0,003","0,45","0,003","0,52"
2594,"0,01162743258","-0,01134184652","-0,005172626134","0,008","0,003","0,924","0,741","0,003","0,075","0,869","0,003"
2595,"-0,0008103036506","0,02588706926","-0,003355982764","0,005","0,598","0,545","0,955","0,003","0,786","0,485","0,003"
2596,"-0,02042018276","-0,03877374241","0,006287715359","0,065","0,003","0,955","0,083","0,003","0,015","0,003","0,482"
2597,"0,01133327937","0,05439974095","-0,001003215197","0,028","0,003","0,865","0,713","0,003","0,152","0,785","0,003"
2598,"0,04119733925","0,05037694013","-0,01562629873","0,063","0,698","0,518","0,789","0,003","0,711","0,754","0,003"
2599,"0,02755311857","0,03920493489","-0,008760460251","0,043","0,003","0,731","0,678","0,003","0,327","0,861","0,003"
2600,"0,03645330113","0,02983091787","-0,005056201626","0,06","0,892","0,374","0,93","0,003","0,832","0,525","0,003"
2601,"-0,002853939456","-0,008663744776","0,004129671691","0,535","0,771","0,284","0,033","0,003","0,633","0,744","0,003"
2602,"-0,05407725322","-0,04362660944","-0,001350580566","0,038","0,494","0,372","0,952","0,003","0,413","0,003","0,836"
2603,"-0,01276569753","-0,01667481065","0,005632516555","0,024","0,419","0,903","0,322","0,003","0,183","0,003","0,481"
2604,"0,04308729114","0,0551102604","0,00299887528","0,058","0,922","0,611","0,957","0,003","0,774","0,525","0,003"
2605,"0,005608122053","0,0396140596","0,03123585155","0,02","0,003",#VALUE!,"0,872","0,003","0,279","0,945","0,003"
2606,"-0,02761671019","-0,05870667001","-0,01892153564","0,055","0,003","0,834","0,766","0,003","0,118","0,754","0,003"
2607,"-0,00306092504","-0,01421052632","-0,004044473091","0,259","0,003","0,661","0,03","0,003","0,397","0,874","0,003"
2608,"-0,02861317511","-0,05955417545","-0,01079031788","0,035","0,003","0,876","0,652","0,003","0,096","0,733","0,003"
2609,"0,03127185726","0,0307219588","-0,003848850566","0,352","0,003","0,929","0,028","0,003","0,048","0,744","0,003"
2610,"0,008688901496","0,04195156908","-0,01144475921","0,053","0,003","0,866","0,879","0,003","0,236","0,003","0,482"
2611,"-0,01039405325","-0,00152704699","-0,002348042788","0,018","0,003","0,997","0,99","0,003","0,008","0,49","0,003"
2612,"0,002860817883","-0,009846535971","-0,02455649742","0,033","0,003",#VALUE!,"0,743","0,003","0,063","0,975","0,003"
2613,"-0,01490670802","-0,02581161523","0,002243790977","0,05","0,744","0,113","0,937","0,003","0,683","0,003","0,832"
2614,"0,01099351314","-0,002697166268","-0,006833945328","0,048","0,611","0,292","0,912","0,003","0,709","0,003","0,92"
2615,"0,004704303275","-0,01041363168","5,62E-05","0,317","0,003","0,503","0,025","0,003","0,485","0,5","0,003"
2616,"-0,06263188993","-0,0879125517","-0,00274750883","0,045","0,003","0,979","0,847","0,003","0,008","0,003","0,832"
2617,"-0,01853773963","-0,02189781022","-0,0135102338","0,03","0,751","0,789","0,947","0,003","0,267","0,516","0,003"
2618,"0,006134265895","0,01272716849","0,0008971150668","0,015","0,995","0,337","0,987","0,003","0,714","0,003","0,751"
2619,"-0,03003763554","-0,03330873289","-0,004369115747","0,043","0,003","0,679","0,794","0,003","0,284","0,754","0,003"
2620,"0,01081298869","0,03098129265","0,001874900525","0,397","0,525","0,374","0,023","0,003","0,847","0,003","0,746"
2621,"-0,01575582966","-0,01305483029","-0,006074893463","0,028","0,003","0,926","0,826","0,003","0,098","0,94","0,003"
2622,"0,003090278266","-0,003488268648","-0,005414357721","0,013","0,003","0,771","0,824","0,003","0,289","0,726","0,003"
2623,"0,006650304806","0,02929300926","0,006347240498","0,021","0,003","0,716","0,817","0,003","0,291","0,526","0,003"
2624,"-0,008149591054","-0,01731128035","0,00342508019","0,515","0,003",#VALUE!,"0,02","0,003","0,754","0,003","0,003"
2625,"-0,02457433109","-0,05952210617","-0,005312415587","0,04","0,997","0,3","0,905","0,003","0,5","0,525","0,003"
2626,"-0,02894325138","0,02662520649","0,006478041345","0,038","0,003","0,9","0,643","0,003","0,09","0,003","0,482"
2627,"-0,01209962169","-0,01625472888","0,009263212368","0,025","0,003","0,858","0,378","0,003","0,151","0,003","0,7"
2628,"-0,02726915521","-0,04777996071","-0,01097865119","0,035","0,003","0,816","0,887","0,003","0,176","0,754","0,003"
2629,"-0,001680268843","0,06433029285","0,001424670009","0,033","0,003","0,974","0,724","0,003","0,08","0,003","0,482"
2630,"-0,03243942787","0,0280403612","0,0449822243","0,03","0,003",#VALUE!,"0,982","0,003","0,143","0,525","0,003"
